Arabic,Transliteration,Translation,Last Reviewed,Interval,Ease Factor,Repetition
عَسَل,3asal,Honey,2025-09-27,1,2.5,0
أَمَل,amal,Hope,2025-09-27,1,2.5,0
حْصان,HSaan,Horse,2025-09-27,1,2.5,0
مُسْتَشْفَى,mustashfaa,Hospital,2025-09-27,1,2.5,0
حَارّسَاخِن,HarrSaakhin,Hot,2025-09-27,1,2.5,0
فُنْدُق,funduq,Hotel,2025-09-27,1,2.5,0
ساعَة,saa3a,Hour,2025-09-27,1,2.5,0
كيف,keef,How,2025-09-27,1,2.5,0
مِيِّة,miyyeh,Hundred,2025-09-27,1,2.5,0
جُوعَان,joo3aan,Hungry,2025-09-27,1,2.5,0
اِعْصار,i3Saar,Hurricane,2025-09-27,1,2.5,0
زوج,zooj,Husband,2025-09-27,1,2.5,0
فِكْرَة,fikrah,Idea,2025-09-27,1,2.5,0
إذا,idhaa,If,2025-09-27,1,2.5,0
مُهِمّ,muhimm,Important,2025-09-27,1,2.5,0
مُسْتَحيل,mustaHiil,Impossible,2025-09-27,1,2.5,0
عَجَب,3ajab,To impress,2025-09-27,1,2.5,0
في,fii,In,2025-09-27,1,2.5,0
قُدَّام,qoddaam,In front of,2025-09-27,1,2.5,0
اِلْتِهاب,iltihaab,Inflammation,2025-09-27,1,2.5,0
مَعْلومِة,ma3luumeh,Information,2025-09-27,1,2.5,0
إبْرِة,ibrah,Injection,2025-09-27,1,2.5,0
إصابِة,iSaaba,Injury,2025-09-27,1,2.5,0
جُوّا,juwwaa,Inside,2025-09-27,1,2.5,0
تَأمين,ta’miin,Insurance,2025-09-27,1,2.5,0
دُوَلي,duwaliy,International,2025-09-27,1,2.5,0
اِسْتِثْمار,istithmaar,Investment,2025-09-27,1,2.5,0
عَزَم,3azam,To invite,2025-09-27,1,2.5,0
جَزيرَة,jazeera,Island,2025-09-27,1,2.5,0
جاكيت,jaakeet,Jacket,2025-09-27,1,2.5,0
غيرِة,ghiireh,Jealousy,2025-09-27,1,2.5,0
مُجَوْهَرات,mujawharaat,Jewelry,2025-09-27,1,2.5,0
شُغُل,shughul,Job,2025-09-27,1,2.5,0
نُكْتِة,nukteh,Joke,2025-09-27,1,2.5,0
مَزَح,mazaH,To joke,2025-09-27,1,2.5,0
نَطّ,naTT,To jump,2025-09-27,1,2.5,0
خَلّى,khallaa,To keep,2025-09-27,1,2.5,0
مُفْتاح,muftaaH,Key,2025-09-27,1,2.5,0
نوع,noo3,Kind/ type,2025-09-27,1,2.5,0
مَلِك,malik,King,2025-09-27,1,2.5,0
مَمْلَكِة,mamlakeh,Kingdom,2025-09-27,1,2.5,0
بوسِة,booseh,Kiss,2025-09-27,1,2.5,0
باس,baas,To kiss,2025-09-27,1,2.5,0
مَطْبَخ,maTbakh,Kitchen,2025-09-27,1,2.5,0
عِرِف,3irif,To know,2025-09-27,1,2.5,0
بُحَيْرَة,buHayra,Lake,2025-09-27,1,2.5,0
خَروف,kharuuf,Lamb,2025-09-27,1,2.5,0
آخِر,aakhir,Last,2025-09-27,1,2.5,0
مِتْأخِّر,mit’akhkhir,Late,2025-09-27,1,2.5,0
بَعْدين,ba3diin,Later,2025-09-27,1,2.5,0
ضِحِك,DiHik,To laugh,2025-09-27,1,2.5,0
قانون,qaanuun,Law,2025-09-27,1,2.5,0
مُحامي,muHaamiy,Lawyer,2025-09-27,1,2.5,0
تْمَدَّد,tmaddad,To lay,2025-09-27,1,2.5,0
كَسول,kasuul,Lazy,2025-09-27,1,2.5,0
زَعيم,za3iim,Leader,2025-09-27,1,2.5,0
تْعَلَّم,t3allam,To learn,2025-09-27,1,2.5,0
تَرَك,tarak,To leave,2025-09-27,1,2.5,0
يَسار,yasaar,Left,2025-09-27,1,2.5,0
رِجْل,rijl,Leg,2025-09-27,1,2.5,0
طول,Tuul,Length,2025-09-27,1,2.5,0
دَرْس,dars,Lesson,2025-09-27,1,2.5,0
خَلّى,khallaa,To let,2025-09-27,1,2.5,0
رِسالِة,risaaleh,Letter/ message,2025-09-27,1,2.5,0
مُسْتَوى,mustawaa,Level,2025-09-27,1,2.5,0
طَابِق,Taabiq,Level/ floor,2025-09-27,1,2.5,0
رُخْصة,rukhSa,License,2025-09-27,1,2.5,0
كِذْبِة,kidhbeh,Lie,2025-09-27,1,2.5,0
كَذَب,kadhab,To lie,2025-09-27,1,2.5,0
حَياة,Hayaa,Life,2025-09-27,1,2.5,0
خَفيف,khafiif,Light (adj.),2025-09-27,1,2.5,0
ضَوّ,Daww,Light,2025-09-27,1,2.5,0
زَيّ,zayy,Like/ as,2025-09-27,1,2.5,0
حَبّ,Habb,To like,2025-09-27,1,2.5,0
حَدّ,Hadd,Limit,2025-09-27,1,2.5,0
خَطّ,khaTT,Line,2025-09-27,1,2.5,0
أَسَد,asad,Lion,2025-09-27,1,2.5,0
شَفايِف,shafaayef,Lips,2025-09-27,1,2.5,0
قائمِة,qaa’imeh,List,2025-09-27,1,2.5,0
سِمِع,simi3,To listen,2025-09-27,1,2.5,0
قَليلشْوَيّ,qaliilshwayy,Little,2025-09-27,1,2.5,0
صْغير,Sghiir,Little,2025-09-27,1,2.5,0
عاش,3aash,To live,2025-09-27,1,2.5,0
مَحَلّي,maHalliy,Local,2025-09-27,1,2.5,0
طَويل,Tawiil,Long/ tall,2025-09-27,1,2.5,0
نَظْرَة,naTHrah,Look,2025-09-27,1,2.5,0
تْطَلَّع,tTalla3,To look,2025-09-27,1,2.5,0
دَوَّر,dawwar,To look for,2025-09-27,1,2.5,0
خِسِر,khisir,To lose,2025-09-27,1,2.5,0
حُبّ,Hubb,Love,2025-09-27,1,2.5,0
حَبّ,Habb,To love,2025-09-27,1,2.5,0
واطي,waaTiy,Low,2025-09-27,1,2.5,0
عِمِل,3imil,Make,2025-09-27,1,2.5,0
سَوَّى,sawwaa,Make/ do,2025-09-27,1,2.5,0
غِلِط,ghiliT,To make a mistake,2025-09-27,1,2.5,0
مول,mool,Mall,2025-09-27,1,2.5,0
رَجُلزَلَمِة,rajulzalameh,Man,2025-09-27,1,2.5,0
مُدير,mudiir,Manager,2025-09-27,1,2.5,0
كْتير,ktiir,Many,2025-09-27,1,2.5,0
خَريطة,khariiTa,Map,2025-09-27,1,2.5,0
سوق,suuq,Market,2025-09-27,1,2.5,0
زَواج,zawaaj,Marriage,2025-09-27,1,2.5,0
مِتْزَوّج,mitzawwej,Married,2025-09-27,1,2.5,0
كَمّامِة,kammaameh,Mask,2025-09-27,1,2.5,0
يِمْكِن,yimkin,Maybe,2025-09-27,1,2.5,0
أنا,ana,Me,2025-09-27,1,2.5,0
لَئيم,la’iim,Mean,2025-09-27,1,2.5,0
قَصَد,qaSad,To mean,2025-09-27,1,2.5,0
قاس,qaas,To measure,2025-09-27,1,2.5,0
لَحْمِة,lahmeh,Meat,2025-09-27,1,2.5,0
دَوا,dawaa,Medicine,2025-09-27,1,2.5,0
الْتَقى,iltaqaa,To meet,2025-09-27,1,2.5,0
صُداع,Sudaa3,Migraine,2025-09-27,1,2.5,0
حَليب,Haliib,Milk,2025-09-27,1,2.5,0
مِلْيون,milyoon,Million,2025-09-27,1,2.5,0
عَقْل,3aql,Mind,2025-09-27,1,2.5,0
نَعْنَع,na3na3,Mint,2025-09-27,1,2.5,0
مْراي,mraay,Mirror,2025-09-27,1,2.5,0
اشْتاق,ishtaaq,To miss,2025-09-27,1,2.5,0
غَلَطَة,ghalTa,Mistake,2025-09-27,1,2.5,0
خَلَط,khalaT,To mix,2025-09-27,1,2.5,0
لَحْظَة,laHDha,Moment,2025-09-27,1,2.5,0
مَصاري,maSaari,Money,2025-09-27,1,2.5,0
شَهْر,shahr,Month,2025-09-27,1,2.5,0
قَمَر,qamar,Moon,2025-09-27,1,2.5,0
أكْتَر,aktar,More,2025-09-27,1,2.5,0
صُبِح,SubiH,Morning,2025-09-27,1,2.5,0
مَسْجِد,masjid,Mosque,2025-09-27,1,2.5,0
أُمّ,umm,Mother,2025-09-27,1,2.5,0
جَبَل,jabal,Mountain,2025-09-27,1,2.5,0
فار,faar,Mouse,2025-09-27,1,2.5,0
تِمّ,timm,Mouth,2025-09-27,1,2.5,0
حَرَكِة,Harakeh,Move,2025-09-27,1,2.5,0
تْحَرَّك,tHarrak,To move,2025-09-27,1,2.5,0
فِلِم,filim,Movie,2025-09-27,1,2.5,0
مَتْحَف,matHaf,Museum,2025-09-27,1,2.5,0
فِطْر,fiTr,Mushrooms,2025-09-27,1,2.5,0
موسيقى,muusiiqaa,Music,2025-09-27,1,2.5,0
اِسْم,ism,Name,2025-09-27,1,2.5,0
سَمّى,sammaa,To name/ call,2025-09-27,1,2.5,0
جِنْسيّة,jinsiyyeh,Nationality,2025-09-27,1,2.5,0
طَبيعة,Tabii3a,Nature,2025-09-27,1,2.5,0
جَنْب,janb,Near,2025-09-27,1,2.5,0
رَقَبِة,raqabeh,Neck,2025-09-27,1,2.5,0
حاجَة,Haaja,Need,2025-09-27,1,2.5,0
احْتاج,iHtaaj,To need,2025-09-27,1,2.5,0
مُفاوَضَة,mufaawaDa,Negotiation,2025-09-27,1,2.5,0
جَار,jaar,Neighbor,2025-09-27,1,2.5,0
أبَداً,abadan,Never,2025-09-27,1,2.5,0
جْديد,jdiid,New,2025-09-27,1,2.5,0
أخْبار,akhbaar,News,2025-09-27,1,2.5,0
جَريدَة,jariida,Newspaper,2025-09-27,1,2.5,0
لَقَب,laqab,Nickname,2025-09-27,1,2.5,0
لَطيف,laTiif,Nice,2025-09-27,1,2.5,0
ليل,leil,Night,2025-09-27,1,2.5,0
تِسْعَة,tis3a,Nine,2025-09-27,1,2.5,0
لا,laa,No,2025-09-27,1,2.5,0
إزْعاج,iz3aaj,Noise,2025-09-27,1,2.5,0
شْمال,shmaal,North,2025-09-27,1,2.5,0
مُنْخار,munkhaar,Nose,2025-09-27,1,2.5,0
دَفْتَر,daftar,Notebook,2025-09-27,1,2.5,0
ولا إشي,walaa ishiy,Nothing,2025-09-27,1,2.5,0
لاحَظ,laaHaDH,To notice,2025-09-27,1,2.5,0
هَلَّأهَسّا,halla’hassaa,Now,2025-09-27,1,2.5,0
رَقَم,raqam,Number,2025-09-27,1,2.5,0
مُحيط,muHiiT,Ocean,2025-09-27,1,2.5,0
طَبْعاً,Tab3an,Of course,2025-09-27,1,2.5,0
عَرْض,3arD,Offer,2025-09-27,1,2.5,0
عَرَض,3araD,To offer,2025-09-27,1,2.5,0
مَكْتَب,maktab,Office,2025-09-27,1,2.5,0
رَسْمي,rasmiy,Official,2025-09-27,1,2.5,0
غالِباً,ghaaliban,Often,2025-09-27,1,2.5,0
زَيْت,zait,Oil,2025-09-27,1,2.5,0
تمام,tamaam,Okay,2025-09-27,1,2.5,0
كْبير,kbiir,Old (people),2025-09-27,1,2.5,0
قَديم,qadiim,Old (things),2025-09-27,1,2.5,0
زَيْتون,zaytoon,Olives,2025-09-27,1,2.5,0
عَلى,3alaa,On,2025-09-27,1,2.5,0
مَرَّة,marra,Once,2025-09-27,1,2.5,0
واحَد,waaHad,One,2025-09-27,1,2.5,0
بَصَل,baSal,Onion,2025-09-27,1,2.5,0
بَسّ,bass,Only,2025-09-27,1,2.5,0
فَتَح,fataH,To open,2025-09-27,1,2.5,0
رَأي,ra’y,Opinion,2025-09-27,1,2.5,0
عَكْس,3aks,Opposite,2025-09-27,1,2.5,0
أو,aw,Or,2025-09-27,1,2.5,0
بُرْتُقال,burtuqaal,Orange,2025-09-27,1,2.5,0
مُنَظَّمَة,mnaDHDHama,Organization,2025-09-27,1,2.5,0
بَرّا,barraa,Out,2025-09-27,1,2.5,0
حَال,Haal,Own,2025-09-27,1,2.5,0
وَجَع,waja3,Pain,2025-09-27,1,2.5,0
نَخْلِة,nakhleh,Palm,2025-09-27,1,2.5,0
وَرَقة,waraqa,Paper,2025-09-27,1,2.5,0
حَديقة,Hadiiqa,Park/ garden,2025-09-27,1,2.5,0
صاف,Saaf,To park,2025-09-27,1,2.5,0
صَفّ,Saff,Parking,2025-09-27,1,2.5,0
جُزُء,juzu’,Part,2025-09-27,1,2.5,0
شْريك,shriik,Partner,2025-09-27,1,2.5,0
حَفْلِة,Hafleh,Party,2025-09-27,1,2.5,0
ماضي,maaDiy,Past,2025-09-27,1,2.5,0
دَفَع,dafa3,To pay,2025-09-27,1,2.5,0
دُفْعَة,duf3a,Payment,2025-09-27,1,2.5,0
قَلَم,qalam,Pen,2025-09-27,1,2.5,0
قِرْش,qirsh,Penny,2025-09-27,1,2.5,0
ناس,naas,People,2025-09-27,1,2.5,0
نِسْبِة,nisbeh,Percentage,2025-09-27,1,2.5,0
عُطُر,3uTur,Perfume,2025-09-27,1,2.5,0
تَصْريح,taSriiH,Permit,2025-09-27,1,2.5,0
شَخْص,shakhS,Person,2025-09-27,1,2.5,0
تِليفون,tiliifoon,Phone,2025-09-27,1,2.5,0
صورَة,Suura,Photo,2025-09-27,1,2.5,0
قِطْعة,qiT3a,Piece,2025-09-27,1,2.5,0
حَمامِة,Hamaameh,Pigeon,2025-09-27,1,2.5,0
حَبّة,Habbeh,Pill,2025-09-27,1,2.5,0
مْخَدّة,mkhaddeh,Pillow,2025-09-27,1,2.5,0
زَهْري,zahriy,Pink,2025-09-27,1,2.5,0
مَكان,makaan,Place,2025-09-27,1,2.5,0
خُطَّة,khuTTa,Plan,2025-09-27,1,2.5,0
طَيّارَة,Tayyaara,Plane,2025-09-27,1,2.5,0
كَوْكَب,kawkab,Planet,2025-09-27,1,2.5,0
بْلاستر,blaastir,Plaster,2025-09-27,1,2.5,0
كيس,kiis,Plastic bag,2025-09-27,1,2.5,0
صَحِن,SaHin,Plate,2025-09-27,1,2.5,0
لِعِب,li3ib,To play,2025-09-27,1,2.5,0
مَلْعَب,mal3ab,Playground,2025-09-27,1,2.5,0
لَوْ سَمَحْت,law samaHt,Please,2025-09-27,1,2.5,0
جَمِع,jami3,Plural,2025-09-27,1,2.5,0
شُرْطَة,shurTa,Police,2025-09-27,1,2.5,0
شُرْطي,shurTiy,Policeman,2025-09-27,1,2.5,0
مُؤَدَّب,mu’addab,Polite,2025-09-27,1,2.5,0
سِياسي,siyaasiy,Politician,2025-09-27,1,2.5,0
سِياسَة,siyaasa,Politics,2025-09-27,1,2.5,0
فَقير,faqiir,Poor,2025-09-27,1,2.5,0
مَشْهور,mashuur,Popular,2025-09-27,1,2.5,0
أَجَّل,ajjal,To postpone,2025-09-27,1,2.5,0
بَطاطا,baTaaTaa,Potato,2025-09-27,1,2.5,0
تَدْريب,tadriib,Practice,2025-09-27,1,2.5,0
تْدَرَّب,tdarrab,To practice,2025-09-27,1,2.5,0
صَلاة,Salaa,Prayer,2025-09-27,1,2.5,0
حامِل,Haamil,Pregnant,2025-09-27,1,2.5,0
جَهَّز,jahhaz,To prepare,2025-09-27,1,2.5,0
قَدَّم,qaddam,To present,2025-09-27,1,2.5,0
رَئيس,ra’iis,President,2025-09-27,1,2.5,0
كَبَس,kabas,To press,2025-09-27,1,2.5,0
سِعْر,si3r,Price,2025-09-27,1,2.5,0
أَمير,amiir,Prince,2025-09-27,1,2.5,0
أَميرَة,amiira,Princess,2025-09-27,1,2.5,0
جائزَة,jaa’iza,Prize,2025-09-27,1,2.5,0
على الأغْلَب,3alal-aghlab,Probably,2025-09-27,1,2.5,0
مُشْكِلِة,mushkileh,Problem,2025-09-27,1,2.5,0
إنْتاج,intaaj,Production,2025-09-27,1,2.5,0
بَرْنامِج,barnaamij,Program,2025-09-27,1,2.5,0
مَشْروع,mashruu3,Project,2025-09-27,1,2.5,0
وَعِد,wa3id,Promise,2025-09-27,1,2.5,0
وَعَد,wa3ad,To promise,2025-09-27,1,2.5,0
فَخور,fakhuur,Proud,2025-09-27,1,2.5,0
هَدَف,hadaf,Purpose/ goal,2025-09-27,1,2.5,0
شَنْطَة,shanTa,Purse,2025-09-27,1,2.5,0
حَطّ,HaTT,To put,2025-09-27,1,2.5,0
مَلِكَة,malika,Queen,2025-09-27,1,2.5,0
سُؤال,su’aal,Question,2025-09-27,1,2.5,0
مَطَر,maTar,Rain,2025-09-27,1,2.5,0
قَوْس قُزَح,qaws qazaH,Rainbow,2025-09-27,1,2.5,0
نادِراً,naadiran,Rarely,2025-09-27,1,2.5,0
رَدَّة فِعْل,Raddat fi3l,Reaction,2025-09-27,1,2.5,0
قَرَأ,qara’,To Read,2025-09-27,1,2.5,0
جاهِز,jaahiz,Ready,2025-09-27,1,2.5,0
حَقيقي,Haqiiqiy,Real,2025-09-27,1,2.5,0
عَنْجَدّ,3anjadd,Really,2025-09-27,1,2.5,0
سَبَب,sabab,Reason,2025-09-27,1,2.5,0
اِستِقْبال,istiqbaal,Reception,2025-09-27,1,2.5,0
شِفاء,shifaa’,Recovery,2025-09-27,1,2.5,0
أَحْمَر,aHmar,Red,2025-09-27,1,2.5,0
رَفَض,rafaD,To refuse,2025-09-27,1,2.5,0
مَنْطِقَة,manTiqa,Region,2025-09-27,1,2.5,0
نِدِم,nidim,To regret,2025-09-27,1,2.5,0
عَلاقَة,3alaaqa,Relationship,2025-09-27,1,2.5,0
قَريب,qariib,Relative,2025-09-27,1,2.5,0
دين,diin,Religion,2025-09-27,1,2.5,0
ضَلّ,Dall,To remain/ stay,2025-09-27,1,2.5,0
تْذَكَّر,tdhakkar,To remember,2025-09-27,1,2.5,0
شال,shaal,To remove sth away,2025-09-27,1,2.5,0
اسْتأجَر,ista’jar,To rent,2025-09-27,1,2.5,0
عاد,3aad,To repeat,2025-09-27,1,2.5,0
تَقْرير,taqriir,Report,2025-09-27,1,2.5,0
جُمْهُورِيّة,jumhuriyyeh,Republic,2025-09-27,1,2.5,0
حَجَز,Hajaz,To reserve,2025-09-27,1,2.5,0
رِجِع,riji3,To return,2025-09-27,1,2.5,0
رُزّ,rozz,Rice,2025-09-27,1,2.5,0
غَني,ghanaa,Rich,2025-09-27,1,2.5,0
رِكِب,rikib,To ride,2025-09-27,1,2.5,0
يَمين,yamiin,Right (direction),2025-09-27,1,2.5,0
صَحيح,SaHiiH,Right/ correct,2025-09-27,1,2.5,0
خاتِم,khaatim,Ring,2025-09-27,1,2.5,0
نَهْر,nahr,River,2025-09-27,1,2.5,0
طَريق,Tariiq,Road,2025-09-27,1,2.5,0
حَجَر,Hajar,Rock,2025-09-27,1,2.5,0
غُرْفِة,ghurfeh,Room,2025-09-27,1,2.5,0
رَكَض,rakaD,To run,2025-09-27,1,2.5,0
حَزين,Haziin,Sad,2025-09-27,1,2.5,0
سَلَطَة,salaTa,Salad,2025-09-27,1,2.5,0
راتِب,raatib,Salary,2025-09-27,1,2.5,0
مِلِح,miliH,Salt,2025-09-27,1,2.5,0
نَفْس,nafs,Same,2025-09-27,1,2.5,0
حَكَى,Hakaa,Say,2025-09-27,1,2.5,0
قال,qaal,Say/ tell,2025-09-27,1,2.5,0
خايِف,khaayef,Scared,2025-09-27,1,2.5,0
لَفْحَة,lafHa,Scarf,2025-09-27,1,2.5,0
جَدْوَل,jadwal,Schedule,2025-09-27,1,2.5,0
مَدْرَسِة,madraseh,School,2025-09-27,1,2.5,0
حَكّ,Hakk,To scratch,2025-09-27,1,2.5,0
مَفَكّ,mafakk,Screwdriver,2025-09-27,1,2.5,0
بَحَر,baHar,Sea,2025-09-27,1,2.5,0
فَصْل,faSl,Season,2025-09-27,1,2.5,0
ثانْيِة,thaaniyeh,Second,2025-09-27,1,2.5,0
سِرّ,sirr,Secret,2025-09-27,1,2.5,0
شاف,shaaf,To see,2025-09-27,1,2.5,0
بَيّاع,bayyaa3,Seller,2025-09-27,1,2.5,0
بَعَتوَدَّى,ba3atwaddaa,To send,2025-09-27,1,2.5,0
جُمْلِة,jumleh,Sentence,2025-09-27,1,2.5,0
خِدْمَة,khidmah,Service,2025-09-27,1,2.5,0
سَبْعَة,sab3a,Seven,2025-09-27,1,2.5,0
هِيّ,hiyyeh,She,2025-09-27,1,2.5,0
غَنَمِة,ghanameh,Sheep,2025-09-27,1,2.5,0
سَفينة,safiina,Ship,2025-09-27,1,2.5,0
قَميص,qamiiS,Shirt,2025-09-27,1,2.5,0
كُنْدَرَةبوت,kundaraboot,Shoes,2025-09-27,1,2.5,0
دُكّان,dukkaan,Shop,2025-09-27,1,2.5,0
تَسَوُّق,tasawwuq,Shopping,2025-09-27,1,2.5,0
قَصير,qaSiir,Short,2025-09-27,1,2.5,0
لازم,laazim,Should,2025-09-27,1,2.5,0
كِتِف,kitif,Shoulder,2025-09-27,1,2.5,0
فَرْجى,farjaa,To show,2025-09-27,1,2.5,0
مَريض,mariiD,Sick person,2025-09-27,1,2.5,0
مَرَض,maraD,Sickness,2025-09-27,1,2.5,0
جِهَة,jiha,Side,2025-09-27,1,2.5,0
مِن,min,Since,2025-09-27,1,2.5,0
غَنَّى,ghannaa,To sing,2025-09-27,1,2.5,0
مُغَنّي,mughanniy,Singer,2025-09-27,1,2.5,0
مُفْرَد,mufrad,Singular,2025-09-27,1,2.5,0
أُخْت,ukht,Sister,2025-09-27,1,2.5,0
قاعَد,qaa3ad,To sit,2025-09-27,1,2.5,0
سِتِّة,sitteh,Six,2025-09-27,1,2.5,0
قْياس,qyaas,Size,2025-09-27,1,2.5,0
سَماء,samaa’,Sky,2025-09-27,1,2.5,0
نام,naam,To sleep,2025-09-27,1,2.5,0
نَعْسان,na3saan,Sleepy,2025-09-27,1,2.5,0
صْغير,Sghiir,Small,2025-09-27,1,2.5,0
ذَكي,dhakiy,Smart,2025-09-27,1,2.5,0
ريحة,riiHa,Smell,2025-09-27,1,2.5,0
شَمّ,shamm,To smell,2025-09-27,1,2.5,0
ابْتِسامِة,ibtisaameh,Smile,2025-09-27,1,2.5,0
حَيِّة,Hayyeh,Snake,2025-09-27,1,2.5,0
ثَلْج,thalj,Snow/ ice,2025-09-27,1,2.5,0
___فَ,fa___,So,2025-09-27,1,2.5,0
جُرْبان,jurbaan,Socks,2025-09-27,1,2.5,0
جُنْدي,jundiy,Soldier,2025-09-27,1,2.5,0
حَلّ,Hall,Solution,2025-09-27,1,2.5,0
حَلّ,Hall,To solve,2025-09-27,1,2.5,0
إشي,ishiy,Something,2025-09-27,1,2.5,0
أَحْياناًمَرّات,aHyaananmarraat,Sometimes,2025-09-27,1,2.5,0
ابْن,ibn,Son,2025-09-27,1,2.5,0
أُغْنِيِّة,oghniyyeh,Song,2025-09-27,1,2.5,0
آسِف,Aasif,Sorry,2025-09-27,1,2.5,0
شُرَبَة,shoraba,Soup,2025-09-27,1,2.5,0
جَنوب,januub,South,2025-09-27,1,2.5,0
حَكَى,Hakaa,To speak,2025-09-27,1,2.5,0
صَرَف,Saraf,To spend money,2025-09-27,1,2.5,0
وَفَّر,waffar,To save money,2025-09-27,1,2.5,0
مَعْلَقَة,ma3laqa,Spoon,2025-09-27,1,2.5,0
رِياضَة,riyaaDa,Sport,2025-09-27,1,2.5,0
بَخّاخ,bakhkhaakh,Spray,2025-09-27,1,2.5,0
رَبيع,rabii3,Spring,2025-09-27,1,2.5,0
مُرَبَّع,murabba3,Square,2025-09-27,1,2.5,0
خِتِم,khitim,Stamp,2025-09-27,1,2.5,0
وِقِف,wiqif,To stand,2025-09-27,1,2.5,0
نِجْمَة,nijma,Star,2025-09-27,1,2.5,0
بَلَّش,ballash,To start,2025-09-27,1,2.5,0
وَقَّف,waqqaf,To stop,2025-09-27,1,2.5,0
مَحَطَّة,maHaTTa,Station,2025-09-27,1,2.5,0
سَرَق,saraq,To steal,2025-09-27,1,2.5,0
لِسّا,lissaa,Still,2025-09-27,1,2.5,0
مِعْدِة,mi3deh,Stomach,2025-09-27,1,2.5,0
مَغِص,maghiS,Stomach-ache,2025-09-27,1,2.5,0
عاصِفة,3aasifeh,Storm,2025-09-27,1,2.5,0
قِصَّة,qiSSa,Story,2025-09-27,1,2.5,0
شارِع,shaari3,Street,2025-09-27,1,2.5,0
طالِب,Taalib,Student,2025-09-27,1,2.5,0
دَرَس,daras,To study,2025-09-27,1,2.5,0
غَبي,ghabiy,Stupid,2025-09-27,1,2.5,0
أُسْلوب,osloob,Style,2025-09-27,1,2.5,0
نَجَح,najaH,To succeed,2025-09-27,1,2.5,0
ناجِح,naajiH,Successful,2025-09-27,1,2.5,0
فَجْأة,faj’a,Suddenly,2025-09-27,1,2.5,0
سُكَّر,sukkar,Sugar,2025-09-27,1,2.5,0
اقْتَرَح,iqtaraH,To suggest,2025-09-27,1,2.5,0
اقْتِراح,iqtiraaH,Suggestion,2025-09-27,1,2.5,0
بَدْلِة,badleh,Suit,2025-09-27,1,2.5,0
صَيْف,Sayf,Summer,2025-09-27,1,2.5,0
شَمْس,shams,Sun,2025-09-27,1,2.5,0
دَعَم,da3am,To support,2025-09-27,1,2.5,0
أكيد,akiid,Sure,2025-09-27,1,2.5,0
عَمَليّة,3amaliyyeh,Surgery,2025-09-27,1,2.5,0
مُفَاجأة,mufaaja’a,Surprise,2025-09-27,1,2.5,0
فاجأ,faaja’,To surprise,2025-09-27,1,2.5,0
ظَنّ,DHann,To suspect/ think,2025-09-27,1,2.5,0
حِلو,Hilou,Sweet (adj.),2025-09-27,1,2.5,0
حَلَوِيّات,Halawiyyaat,Sweets,2025-09-27,1,2.5,0
سِباحة,sibaaHa,Swimming,2025-09-27,1,2.5,0
مَسْبَح,masbaH,Swimming pool,2025-09-27,1,2.5,0
عَرَض,3araD,Symptom,2025-09-27,1,2.5,0
نِظام,niDHaam,System,2025-09-27,1,2.5,0
طاوْلِة,Taawleh,Table,2025-09-27,1,2.5,0
أَخَد,akhad,To take,2025-09-27,1,2.5,0
صَوَّر,Sawwar,To take a picture,2025-09-27,1,2.5,0
تْحَمَّم,tHammam,To take shower,2025-09-27,1,2.5,0
مَوْهِبَة,mawhiba,Talent,2025-09-27,1,2.5,0
حَكي,Haki,Talk (n.),2025-09-27,1,2.5,0
حَكَى,Hakaa,To talk,2025-09-27,1,2.5,0
ذاق,dhaaq,To taste,2025-09-27,1,2.5,0
ضَريبِة,Dariibeh,TAX,2025-09-27,1,2.5,0
تاكْسِي,taaksi,Taxi,2025-09-27,1,2.5,0
شاي,shaay,Tea,2025-09-27,1,2.5,0
عَلَّم,3allam,To teach,2025-09-27,1,2.5,0
مُدَرّس,mudarris,Teacher,2025-09-27,1,2.5,0
تِلْفِزْيون,tilfizyoon,Television,2025-09-27,1,2.5,0
حَكَى,Hakaa,To tell,2025-09-27,1,2.5,0
حَرارة,Haraara,Temperature,2025-09-27,1,2.5,0
مؤَقَّت,mu’aqqat,Temporary,2025-09-27,1,2.5,0
عَشَرَة,3ashara,Ten,2025-09-27,1,2.5,0
شُكُر,shukur,Thanks,2025-09-27,1,2.5,0
شَكَر,shakar,To thank,2025-09-27,1,2.5,0
إنّه,inno,That,2025-09-27,1,2.5,0
الأحْسَن,alaHsan,The best,2025-09-27,1,2.5,0
هُناك,honaak,There,2025-09-27,1,2.5,0
هُمّ,hummeh,They,2025-09-27,1,2.5,0
شَغْلِة,shaghleh,Thing,2025-09-27,1,2.5,0
فَكَّر,fakkar,To think,2025-09-27,1,2.5,0
عَطْشان,3aTshaan,Thirsty,2025-09-27,1,2.5,0
هادهاي,haadhaay,This (m)This (f),2025-09-27,1,2.5,0
أَلْف,alf,Thousand,2025-09-27,1,2.5,0
تَلاتِة,talaateh,Three,2025-09-27,1,2.5,0
زور,zoor,Throat,2025-09-27,1,2.5,0
خِلال,khilaal,Through,2025-09-27,1,2.5,0
رَمَى,ramaa,To throw,2025-09-27,1,2.5,0
رَعِد,ra3id,Thunder,2025-09-27,1,2.5,0
رَبَط,rabaT,To tie,2025-09-27,1,2.5,0
وَقْت,waqt,Time,2025-09-27,1,2.5,0
تَعْبان,ta3baan,Tired,2025-09-27,1,2.5,0
مَحْرَمِة,maHrameh,Tissue,2025-09-27,1,2.5,0
